HTS 6D,naics
010110,112920
010111,112920
010119,112920
010120,112920
010121,112920
010129,112920
010130,112920
010190,112920
010210,11211X
010221,11211X
010229,11211X
010231,11211X
010239,11211X
,112990
010290,11211X
,112990
010310,112210
010391,112210
010392,112210
010410,112410
010420,112420
010511,1123XX
010512,1123XX
010513,1123XX
010514,1123XX
010515,1123XX
010519,1123XX
010592,1123XX
010593,1123XX
010594,1123XX
010599,1123XX
010600,112910
,112930
,112990
010611,112990
010612,112990
010613,112990
010614,112930
010619,112930
,112990
010620,112990
010631,112990
010632,112990
010633,112990
010639,112990
010641,112910
010649,112910
,112990
010690,112910
,112990
020110,311611
020120,311611
020130,311611
020210,311611
020220,311611
020230,311611
020311,311611
020312,311611
020319,311611
020321,311611
020322,311611
020329,311611
020410,311611
020421,311611
020422,311611
020423,311611
020430,311611
020441,311611
020442,311611
020443,311611
020450,311611
020500,311611
020610,311611
020621,311611
020622,311611
020629,311611
020630,311611
020641,311611
020649,311611
020680,311611
020690,311611
020711,311615
020712,311615
020713,311615
020714,311615
020724,311615
020725,311615
020726,311615
020727,311615
020732,311615
020733,311615
020734,311615
020735,311615
020736,311615
020741,311615
020742,311615
020743,311615
020744,311615
020745,311615
020751,311615
020752,311615
020753,311615
020754,311615
020755,311615
020760,311615
020810,311615
020820,311615
020830,311611
,311615
020840,311611
,311615
020850,311611
,311615
020860,311611
020890,311611
,311615
020900,311611
020910,311611
020990,311615
021011,311611
021012,311611
021019,311611
021020,311611
021090,311611
,311615
021091,311611
021092,311611
021093,311611
021099,311611
,311615
030110,112511
030111,112511
030119,112511
030191,112511
030192,112511
030193,112511
030194,112511
030195,112511
030199,112511
030211,112511
,114111
030212,112511
,114111
030213,112511
,114111
030214,112511
,114111
030219,114111
030221,114111
030222,114111
030223,114111
030224,114111
030229,114111
030231,114111
030232,114111
030233,114111
030234,114111
030235,114111
030236,114111
030239,114111
030240,114111
030241,114111
030242,114111
030243,114111
030244,114111
030245,114111
030246,114111
030247,114111
030249,114111
030250,114111
030251,114111
030252,114111
030253,114111
030254,114111
030255,114111
030256,114111
030259,114111
030261,114111
030262,114111
030263,114111
030264,114111
030265,114111
030266,114111
030267,114111
030268,114111
030269,114111
030270,114111
030271,114111
030272,114111
030273,114111
030274,114111
030279,114111
030281,114111
030282,114111
030283,114111
030284,114111
030285,114111
030289,114111
030290,114111
030291,114111
030292,114111
030299,114111
030310,114111
030311,114111
030312,114111
030313,114111
030314,114111
030319,114111
030321,114111
030322,114111
030323,114111
030324,114111
030325,114111
030326,114111
030329,114111
030331,114111
030332,114111
030333,114111
030334,114111
030339,114111
030341,114111
030342,114111
030343,114111
030344,114111
030345,114111
030346,114111
030349,114111
030350,114111
030351,114111
030352,114111
030353,114111
030354,114111
030355,114111
030356,114111
030357,114111
030359,114111
030360,114111
030361,114111
030362,114111
030363,114111
030364,114111
030365,114111
030366,114111
030367,114111
030368,114111
030369,114111
030371,114111
030372,114111
030373,114111
030374,114111
030375,114111
030376,114111
030377,114111
030378,114111
030379,114111
030380,114111
030381,114111
030382,114111
030383,114111
030384,114111
030389,114111
030390,114111
030391,114111
030392,114111
030399,114111
030410,112511
,114111
030411,114111
030412,114111
030419,112511
,114111
030420,114111
030421,114111
030422,114111
030429,114111
030431,114111
030432,114111
030433,114111
030439,114111
030441,112511
,114111
030442,114111
030443,114111
030444,114111
030445,114111
030446,114111
030447,114111
030448,114111
030449,114111
030451,114111
030452,112511
,114111
030453,114111
030454,114111
030455,114111
030456,114111
030457,114111
030459,114111
030461,114111
030462,114111
030463,114111
030469,114111
030471,114111
030472,114111
030473,114111
030474,114111
030475,114111
030479,114111
030481,114111
030482,114111
030483,114111
030484,114111
030485,114111
030486,114111
030487,114111
030488,114111
030489,114111
030490,114111
030491,114111
030492,114111
030493,114111
030494,114111
030495,114111
030496,114111
030497,114111
030499,114111
030510,311710
,311711
030520,311710
,311711
030530,311711
030531,311710
030532,311710
030539,311710
030541,311710
,311711
030542,311710
,311711
030543,311710
030544,311710
030549,311710
,311711
030551,311710
,311711
030552,311710
030553,311710
030554,311710
030559,311710
,311711
030561,311710
,311711
030562,311710
,311711
030563,311710
,311711
030564,311710
030569,311710
,311711
030571,311710
030572,311710
030579,311710
030611,114112
030612,114112
030613,114112
030614,114112
030615,114111
,114112
030616,114112
030617,112512
,114112
030619,114111
,114112
,311710
030621,114112
030622,112512
,114112
030623,114112
030624,114112
030625,114112
030626,114112
030627,114112
030629,114112
030631,114112
030632,114112
030633,114112
030634,114112
030635,114112
030636,114112
030639,114112
030691,114112
030692,114112
030693,114112
030694,114112
030695,114112
030699,114112
,311710
030710,112512
,114112
030711,112512
,114112
030712,112512
,114112
030719,112512
,114112
030721,114112
030722,114112
030729,114112
030731,112512
,114112
030732,114112
030739,114112
030741,114112
030742,114112
030743,114112
030749,114112
030751,114112
030752,114112
030759,114112
030760,114112
030771,114112
030772,114112
030779,114112
030781,114112
030782,114112
030783,114112
030784,114112
030787,114112
030788,114112
030789,114112
030791,114112
,114119
030792,114112
030799,114112
030811,114112
030812,114112
030819,114112
030821,114112
030822,114112
030829,114112
030830,114112
030890,114112
030910,311710
030990,114112
040110,311511
040120,311511
040130,311511
040140,311511
040150,311511
040210,311514
040221,311514
040229,311514
040291,311514
040299,311514
040310,311511
040320,311511
,311514
040390,311511
,311514
040410,311513
,311514
040490,311514
040510,311512
040520,311225
,311512
040590,311512
040610,311513
040620,311513
040630,311513
040640,311513
040690,311513
040700,1123XX
,311999
040711,1123XX
040719,1123XX
040721,1123XX
040729,1123XX
040790,311999
040811,311999
040819,311999
040891,311999
040899,311999
040900,112910
041000,114119
041010,114119
041090,114119
050100,990000
050210,311611
050290,112990
050300,990000
050400,311611
050510,339999
,990000
050590,311613
050610,311611
050690,311611
050710,990000
050790,990000
050800,114119
050900,114119
051000,114119
,311611
051110,11211X
051191,311613
051199,11211X
,114119
,311611
,311613
,990000
060110,111421
060120,111421
060210,111421
060220,111421
060230,111421
060240,111421
060290,111411
,111421
060310,111422
060311,111422
060312,111422
060313,111422
060314,111422
060315,111422
060319,111422
060390,339999
060410,113210
060420,111421
,111422
,113210
060490,113210
,339999
060491,111421
,111422
060499,339999
070110,111211
070190,111211
070200,111219
,111419
070310,111219
070320,111219
070390,111219
070410,111219
070420,111219
070490,111219
070511,111219
070519,111219
070521,111219
070529,111219
070610,111219
070690,111219
070700,111219
,111419
070810,111219
070820,111219
070890,111219
070910,111219
070920,111219
070930,111219
070940,111219
070951,111411
070952,111411
070953,111411
070954,111411
070955,111411
070956,111411
070959,111411
070960,111219
,111419
070970,111219
070990,111219
,111339
070991,111219
070992,111339
070993,111219
070999,111219
071010,311411
071021,311411
071022,311411
071029,311411
071030,311411
071040,311411
071080,311411
071090,311411
071110,311421
071120,111339
,311421
071130,311421
071140,311421
071151,311421
071159,311421
071190,311421
071220,311211
,311423
,311942
071230,311423
071231,311423
071232,311423
071233,311423
071234,311423
071239,311423
071290,111219
,311211
,311423
,311942
071310,111130
071320,111130
071331,111130
071332,111130
071333,111130
071334,111130
071335,111130
071339,111130
071340,111130
071350,111130
071360,111130
071390,111130
071410,111130
,111998
071420,111211
,111219
,311411
071430,111211
,311411
,311423
071440,111219
,111998
,311411
,311423
071450,111219
,311411
,311423
071490,111219
,111998
,311411
,311423
080111,311999
080112,111335
080119,111335
080121,111335
080122,111335
080131,111335
080132,111335
080211,111335
080212,111335
080221,111335
080222,111335
080231,111335
080232,111335
080240,111335
080241,111335
080242,111335
080250,111335
080251,111335
080252,111335
080260,111335
080261,111335
080262,111335
080270,111335
